project_id;title;summary;starting_date;ending_date;funding;duration;staff_id;program_id;organization_id;researcher_id
61;Flowdeskar;Nulla suscipit ligula in lacus.;2020-01-21;2022-10-15;730961,01;998;3;5;40;53
62;Matter;Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.;2020-10-30;2022-03-11;469213,85;497;4;29;40;93
63;Testing;Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.;2020-06-23;2022-12-17;859414,24;907;11;35;40;65
64;Tooless;Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.;2020-08-27;2022-08-05;699174,57;708;2;30;40;80
65;Helloness;Pellentesque eget nunc.;2020-09-20;2022-11-28;585658,65;799;6;20;40;73
66;Awareness;Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.;2020-11-14;2022-07-20;594093,77;613;9;12;40;87
67;Tinted;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.;2020-06-07;2022-08-18;185605,82;802;12;35;40;30
68;Fixed;In hac habitasse platea dictumst. Etiam faucibus cursus urna.;2020-05-02;2022-11-05;242537,67;917;13;2;40;6
69;X-find;Praesent blandit. Nam nulla.;2020-01-23;2022-05-18;646809,85;846;19;25;40;71
70;Eatly;Pellentesque ultrices mattis odio.;2020-10-30;2022-11-05;707462,25;736;6;36;40;26
71;Solarium;Curabitur at ipsum ac tellus semper interdum.;2021-12-14;2022-01-19;983042,76;36;1;25;40;25
72;Solomon;In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.;2021-03-09;2022-07-21;175212,26;499;7;7;40;79
73;Triple;"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.";2021-01-15;2023-12-28;369787,15;1077;2;6;40;22
74;Opa;Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.;2021-05-18;2023-04-28;565458,09;710;19;26;40;19
75;Ventus;Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.;2021-12-09;2023-12-03;613546,37;724;18;9;40;94
76;Temper;Vivamus in felis eu sapien cursus vestibulum.;2021-11-14;2023-04-20;645769,10;522;9;13;40;76
77;Pannini;Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.;2021-02-15;2023-12-28;332861,13;1046;17;6;40;107
78;Loren;Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.;2021-12-25;2023-12-28;447308,11;733;16;23;40;17
79;Baba;Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.;2021-11-25;2023-03-23;718206,55;483;12;29;40;95
80;Loststring;Morbi non quam nec dui luctus rutrum.;2021-09-11;2023-10-20;516530,37;769;20;4;40;64
81;Wrapping;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.;2021-11-08;2023-02-05;785747,93;454;16;13;40;51
82;Tacos;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.;2021-09-05;2023-02-02;952130,31;515;15;19;40;87
83;Macrosoftex;Suspendisse potenti. Nullam porttitor lacus at turpis.;2021-10-08;2023-05-26;508597,70;595;2;14;40;2
