grade;date;researcher_id;project_id
2;2018-12-11;60;1
8;2019-01-04;81;2
9;2019-02-04;36;3
5;2018-08-05;81;4
5;2017-07-05;12;5
9;2018-01-24;56;6
2;2017-12-13;120;7
8;2017-09-06;96;8
9;2018-01-24;21;9
6;2018-04-07;34;10
8;2017-09-29;72;11
1;2018-09-05;10;12
4;2018-04-06;101;13
2;2018-11-22;104;14
6;2017-06-04;113;15
2;2019-03-20;38;16
2;2019-02-26;9;17
3;2017-08-13;81;18
9;2018-01-05;93;19
5;2019-02-25;54;20
6;2018-06-21;16;21
4;2018-12-17;41;22
4;2019-01-31;77;23
10;2018-06-30;104;24
5;2018-01-19;25;25
4;2018-01-22;2;26
5;2019-03-20;76;27
7;2018-11-09;58;28
6;2018-03-23;97;29
9;2018-07-24;24;30
2;2019-01-02;108;31
1;2017-11-23;46;32
3;2017-10-04;53;33
6;2017-11-29;115;34
4;2017-08-20;110;35
2;2018-10-18;86;36
7;2019-02-18;11;37
3;2018-11-22;107;38
5;2018-11-10;43;39
9;2019-03-05;114;40
5;2018-12-19;44;41
9;2018-01-05;111;42
3;2018-11-24;84;43
7;2018-08-15;77;44
1;2017-06-09;117;45
3;2018-01-19;58;46
5;2018-04-12;23;47
2;2018-09-11;46;48
6;2018-08-22;59;49
10;2018-02-04;42;50
8;2018-05-26;100;51
10;2018-07-21;98;52
7;2019-05-03;29;53
4;2018-02-20;19;54
9;2018-10-27;29;55
5;2018-12-02;17;56
7;2018-04-21;119;57
1;2018-04-12;93;58
10;2018-07-01;113;59
1;2018-02-10;103;60
