program_id;name;department
1;Alpha;Research and Development
2;Redhold;Business Development
3;Regrant;Marketing
4;Cookley;Support
5;Cookley;Human Resources
6;Mat Lam Tam;Research and Development
7;Fixflex;Engineering
8;Cardguard;Engineering
9;Andalax;Research and Development
10;Gembucket;Engineering
11;Veribet;Marketing
12;Domainer;Training
13;Daltfresh;Business Development
14;Mat Lam Tam;Sales
15;Zamit;Legal
16;Y-find;Accounting
17;Stim;Engineering
18;Bytecard;Services
19;Cookley;Training
20;Tres-Zap;Marketing
21;Tin;Support
22;Ronstring;Sales
23;Overhold;Accounting
24;Tresom;Product Management
25;Overhold;Training
26;Keylex;Legal
27;Stim;Legal
28;Konklux;Marketing
29;Sub-Ex;Services
30;Tampflex;Services
31;Greenlam;Human Resources
32;Toughjoyfax;Business Development
33;Stringtough;Business Development
34;Voltsillam;Legal
35;Regrant;Business Development
36;Sonsing;Services
37;Daltfresh;Services
38;Toughjoyfax;Sales
39;Lotlux;Accounting
40;Sub-Ex;Services
