project_id;title;summary;starting_date;ending_date;funding;duration;staff_id;program_id;organization_id;researcher_id
1;Y-Solowarm;In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.;2020-03-09;2023-07-21;175212,26;1229;6;7;5;24
2;Veribet;In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.;2021-07-11;2023-11-27;406390,48;869;3;11;11;58
3;Lotstring;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.";2020-05-24;2022-04-14;753140,88;690;2;31;16;82
4;Lotlux;Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.;2021-03-28;2021-08-12;437322,76;137;9;24;18;68
5;Tempsoft;Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.;2020-04-13;2022-07-24;659775,46;832;10;24;26;56
6;Stim;Duis consequat dui nec nisi volutpat eleifend.;2020-03-19;2022-12-31;375871,15;1017;20;3;22;94
7;Mat Lam Tam;Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.;2020-10-30;2024-03-11;469213,85;1228;11;29;23;6
8;Toughjoyfax;Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.;2019-08-14;2023-04-07;179087,94;1332;16;9;35;61
9;Stringtough;Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.;2019-11-14;2023-07-20;594093,77;1344;8;12;33;10
10;Duobam;Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.;2019-12-08;2023-07-03;143256,55;1303;6;15;26;82
11;Viva;Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.;2020-05-18;2022-06-15;610937,39;758;20;39;24;106
12;Span;In eleifend quam a odio.;2021-07-26;2022-11-13;993424,35;475;10;31;37;71
13;Tampflex;Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.;2021-08-22;2024-05-01;707056,75;983;12;11;24;114
14;Bamity;Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.;2021-11-25;2025-03-23;718206,55;1214;13;29;5;48
15;Alphazap;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.;2021-09-05;2023-02-02;952130,31;515;16;19;20;53
16;Otcom;Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.;2020-02-12;2023-03-17;994946,80;1129;17;2;2;114
