name;project_id
Physics;2
Chemistry;22
Astronomy;13
Medicine;8
Education;38
Economics;1
Mathematics;26
Computer Science;7
Information Technology;54
Artificial Intelligence;3
Data Science;41
Statistics;4
Neurobiology;51
Physics;37
Chemistry;24
Astronomy;49
Medicine;3
Education;31
Economics;18
Mathematics;10
Computer Science;52
Information Technology;6
Artificial Intelligence;18
Data Science;7
Statistics;25
Neurobiology;35
Physics;48
Chemistry;55
Astronomy;42
Medicine;43
Education;30
Economics;58
Mathematics;31
Computer Science;45
Information Technology;30
Artificial Intelligence;55
Data Science;19
Statistics;29
Neurobiology;15
Physics;19
Chemistry;11
Astronomy;7
Medicine;54
Education;30
Economics;60
Mathematics;26
Computer Science;46
Information Technology;53
Artificial Intelligence;15
Data Science;16
Statistics;60
Neurobiology;41
Physics;35
Chemistry;23
Astronomy;32
Medicine;27
Education;11
Economics;44
Mathematics;3
Computer Science;29
Information Technology;14
Artificial Intelligence;6
Data Science;43
Statistics;43
Neurobiology;60
Statistics;21
Neurobiology;8
Physics;36
Chemistry;30
Astronomy;3
Medicine;7
Education;6
Economics;60
Mathematics;59
Computer Science;23
Information Technology;52
Artificial Intelligence;41
Data Science;47
Statistics;58
Neurobiology;23
Physics;2
Chemistry;13
Astronomy;29
Medicine;22
Education;11
Economics;3
Mathematics;58
Computer Science;42
Information Technology;49
Physics;49
Chemistry;54
Astronomy;41
Medicine;34
Education;5
Economics;3
Mathematics;12
Computer Science;58
Information Technology;44
Artificial Intelligence;45
Data Science;49
Artificial Intelligence;14
Data Science;6
Statistics;43
Neurobiology;43
Physics;60
Chemistry;21
Astronomy;8
Medicine;36
Education;30
Economics;3
Artificial Intelligence;7
Data Science;6
Statistics;60
Neurobiology;59
Physics;23
Chemistry;3
Astronomy;5
Medicine;10
Education;11
