starting_date;researcher_id;organization_id
2012-07-06;1;40
2011-12-02;2;9
2013-11-17;3;29
2014-02-14;4;15
2013-03-25;5;26
2013-03-09;6;18
2011-12-07;7;22
2010-11-09;8;13
2016-02-08;9;12
2011-09-09;10;14
2010-08-03;11;14
2014-11-01;12;30
2013-07-24;13;37
2012-03-11;14;9
2013-12-29;15;19
2015-05-08;16;7
2011-04-12;17;35
2013-01-21;18;19
2010-06-27;19;23
2014-02-05;20;37
2011-06-06;21;7
2013-02-15;22;20
2019-01-11;23;25
2011-04-02;24;37
2014-02-22;25;12
2017-10-03;26;1
2017-01-17;27;34
2015-06-28;28;26
2011-05-30;29;24
2011-11-20;30;8
2014-01-27;31;40
2013-08-01;32;25
2011-12-09;33;5
2011-08-29;34;4
2015-01-07;35;1
2015-07-18;36;5
2017-12-15;37;1
2014-11-06;38;16
2013-10-11;39;30
2014-09-08;40;3
2018-05-11;41;28
2015-06-20;42;3
2011-05-21;43;39
2013-05-05;44;29
2018-06-18;45;30
2017-09-01;46;7
2015-01-09;47;28
2014-09-05;48;40
2017-05-28;49;38
2010-11-23;50;30
2012-08-01;51;38
2018-07-14;52;6
2011-05-07;53;37
2010-06-10;54;1
2011-01-12;55;23
2013-08-28;56;2
2017-11-02;57;7
2014-12-14;58;4
2012-08-12;59;20
2012-09-21;60;33
2011-07-19;61;25
2013-03-06;62;15
2012-06-26;63;36
2018-06-28;64;39
2010-08-31;65;9
2018-05-26;66;24
2014-07-04;67;19
2012-03-03;68;6
2013-07-23;69;40
2015-02-13;70;25
2016-02-05;71;11
2015-06-25;72;11
2014-03-10;73;12
2012-12-07;74;37
2017-10-17;75;17
2013-04-02;76;24
2014-09-21;77;31
2018-09-24;78;35
2016-09-01;79;37
2016-10-28;80;26
2015-01-21;81;3
2017-12-08;82;26
2014-06-24;83;13
2015-03-10;84;13
2015-03-26;85;34
2011-06-01;86;2
2015-05-26;87;31
2015-10-08;88;25
2017-10-20;89;32
2016-06-28;90;17
2018-05-22;91;8
2017-05-25;92;35
2011-12-24;93;23
2013-01-10;94;17
2018-07-11;95;27
2017-08-14;96;8
2015-02-12;97;5
2014-07-04;98;26
2013-09-30;99;33
2013-01-23;100;2
2012-12-26;101;37
2010-06-02;102;9
2012-10-07;103;40
2015-05-02;104;37
2014-03-13;105;26
2017-09-26;106;29
2010-08-26;107;40
2012-05-10;108;22
2014-05-24;109;23
2015-12-27;110;25
2011-09-15;111;23
2011-12-13;112;18
2017-05-05;113;35
2011-06-21;114;32
2016-02-18;115;30
2012-01-17;116;14
2016-09-25;117;3
2017-09-14;118;8
2016-10-03;119;29
2010-07-16;120;23
